master_sku,sku,[option](size)Sizes,[option](color)Colors,[property](material)Material,name,price,available_on,description,meta_description,meta_keywords,cost_price,quantity
STN-FW13-TECH-SWEAT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","90% California Fleece cotton, 10% polyester","""GIN LANE"" / ""TECH"" Sweatshirt",69.0,11/15/0013,"Our take on the classic everyday sweatshirt. Casual and comfortable, this sweatshirt from American Apparel features raglan sleeves. Constructed of soft fleece, this sweatshirt is finished with a classic crewneck and a banded hem and cuffs.",,,,2
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,3
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,2
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,3
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,0
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,0
STN-FW13-SNAP,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,0
STN-FW13-DUMMY-NO-SIZE,,"(xl)XL,(l)L,(m)M,(s)S",,100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,0
STN-FW13-DUMMY-NO-SIZE,,"(xl)XL,(l)L,(m)M,(s)S",,100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,1
STN-FW13-DUMMY-NO-SIZE,,"(xl)XL,(l)L,(m)M,(s)S",,100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,32
STN-FW13-DUMMY-NO-SIZE,,"(xl)XL,(l)L,(m)M,(s)S",,100% cotton,Wave Snapback,49.0,11/15/0013,"6-panel, structured, high-profile 3 3/4"""" crown; eight-row stitching on flat visor; plastic adjustable closure; hard buckram backed front panels; six sewn Eyelets; Green undervisor.",,,,3
